"","own_country","launch_year","count"
"1","Argentina",2002,2
"2","Argentina",2004,2
"3","Argentina",2013,2
"4","Argentina",2014,2
"5","Argentina",2015,1
"6","Argentina",2016,2
"7","Canada",2000,1
"8","Canada",2002,1
"9","Canada",2003,2
"10","Canada",2004,1
"11","Canada",2005,1
"12","Canada",2007,2
"13","Canada",2008,3
"14","Canada",2009,2
"15","Canada",2011,3
"16","Canada",2012,2
"17","Canada",2013,5
"18","Canada",2014,4
"19","Canada",2015,2
"20","Canada",2016,3
"21","China",1996,1
"22","China",1998,1
"23","China",1999,1
"24","China",2003,2
"25","China",2004,4
"26","China",2005,3
"27","China",2006,4
"28","China",2007,2
"29","China",2008,11
"30","China",2009,6
"31","China",2010,19
"32","China",2011,16
"33","China",2012,23
"34","China",2013,14
"35","China",2014,21
"36","China",2015,44
"37","China",2016,19
"38","ESA",1999,1
"39","ESA",2000,4
"40","ESA",2001,2
"41","ESA",2009,2
"42","ESA",2010,1
"43","ESA",2011,2
"44","ESA",2012,2
"45","ESA",2013,4
"46","ESA",2014,3
"47","ESA",2015,7
"48","ESA",2016,9
"49","Germany",1999,1
"50","Germany",2001,1
"51","Germany",2006,1
"52","Germany",2007,3
"53","Germany",2008,7
"54","Germany",2009,2
"55","Germany",2010,2
"56","Germany",2012,1
"57","Germany",2013,4
"58","Germany",2014,1
"59","Germany",2016,1
"60","India",2002,2
"61","India",2003,3
"62","India",2005,2
"63","India",2007,3
"64","India",2008,1
"65","India",2009,1
"66","India",2010,1
"67","India",2011,5
"68","India",2012,2
"69","India",2013,3
"70","India",2014,4
"71","India",2015,4
"72","India",2016,11
"73","Israel",2002,1
"74","Israel",2003,1
"75","Israel",2006,1
"76","Israel",2007,1
"77","Israel",2008,2
"78","Israel",2010,1
"79","Israel",2013,1
"80","Israel",2014,2
"81","Israel",2016,1
"82","Japan",1997,1
"83","Japan",1999,1
"84","Japan",2000,2
"85","Japan",2002,3
"86","Japan",2003,1
"87","Japan",2005,1
"88","Japan",2006,4
"89","Japan",2007,1
"90","Japan",2008,3
"91","Japan",2009,7
"92","Japan",2010,2
"93","Japan",2011,3
"94","Japan",2012,3
"95","Japan",2013,4
"96","Japan",2014,13
"97","Japan",2015,2
"98","Japan",2016,9
"99","Luxembourg",1994,1
"100","Luxembourg",1996,1
"101","Luxembourg",1997,1
"102","Luxembourg",1998,1
"103","Luxembourg",1999,1
"104","Luxembourg",2000,2
"105","Luxembourg",2001,1
"106","Luxembourg",2002,1
"107","Luxembourg",2006,1
"108","Luxembourg",2007,1
"109","Luxembourg",2008,1
"110","Luxembourg",2010,1
"111","Luxembourg",2011,1
"112","Luxembourg",2012,1
"113","Luxembourg",2013,1
"114","Luxembourg",2014,2
"115","Multinational",1992,1
"116","Multinational",1996,1
"117","Multinational",1997,2
"118","Multinational",1998,1
"119","Multinational",1999,4
"120","Multinational",2000,2
"121","Multinational",2001,2
"122","Multinational",2002,4
"123","Multinational",2003,1
"124","Multinational",2004,3
"125","Multinational",2005,2
"126","Multinational",2006,6
"127","Multinational",2007,3
"128","Multinational",2008,3
"129","Multinational",2009,3
"130","Multinational",2010,4
"131","Multinational",2011,4
"132","Multinational",2012,4
"133","Multinational",2013,4
"134","Multinational",2014,3
"135","Multinational",2015,5
"136","Multinational",2016,4
"137","Netherlands",1997,1
"138","Netherlands",1998,1
"139","Netherlands",2000,1
"140","Netherlands",2002,2
"141","Netherlands",2005,1
"142","Netherlands",2008,1
"143","Netherlands",2009,2
"144","Netherlands",2013,1
"145","Russia",1994,1
"146","Russia",1996,1
"147","Russia",1999,1
"148","Russia",2001,2
"149","Russia",2002,3
"150","Russia",2003,4
"151","Russia",2004,3
"152","Russia",2005,5
"153","Russia",2006,3
"154","Russia",2007,5
"155","Russia",2008,5
"156","Russia",2009,8
"157","Russia",2010,11
"158","Russia",2011,9
"159","Russia",2012,9
"160","Russia",2013,17
"161","Russia",2014,23
"162","Russia",2015,15
"163","Russia",2016,8
"164","Spain",2000,1
"165","Spain",2002,1
"166","Spain",2004,2
"167","Spain",2005,1
"168","Spain",2006,1
"169","Spain",2009,3
"170","Spain",2010,1
"171","Spain",2013,3
"172","Spain",2014,2
"173","United Kingdom",1990,1
"174","United Kingdom",1996,3
"175","United Kingdom",1997,1
"176","United Kingdom",1998,1
"177","United Kingdom",1999,1
"178","United Kingdom",2001,1
"179","United Kingdom",2005,2
"180","United Kingdom",2007,2
"181","United Kingdom",2008,2
"182","United Kingdom",2009,1
"183","United Kingdom",2010,1
"184","United Kingdom",2012,2
"185","United Kingdom",2013,6
"186","United Kingdom",2014,10
"187","United Kingdom",2015,6
"188","USA",1974,1
"189","USA",1988,1
"190","USA",1989,1
"191","USA",1991,1
"192","USA",1993,3
"193","USA",1994,3
"194","USA",1995,3
"195","USA",1996,3
"196","USA",1997,47
"197","USA",1998,49
"198","USA",1999,25
"199","USA",2000,21
"200","USA",2001,9
"201","USA",2002,19
"202","USA",2003,16
"203","USA",2004,12
"204","USA",2005,13
"205","USA",2006,13
"206","USA",2007,23
"207","USA",2008,12
"208","USA",2009,18
"209","USA",2010,22
"210","USA",2011,28
"211","USA",2012,27
"212","USA",2013,37
"213","USA",2014,35
"214","USA",2015,52
"215","USA",2016,80
"216","USA",NA,1
